"country","OHI_score","OHI_trend","coastal_pop","log_coastal_pop","cumulative_human_impact","HDI","georegion_one","geogregion_two"
"South Georgia and the South Sandwich Islands",91.98,1.67,0,0,2.81775211960146,NA,"Southern Islands","Southern Islands"
"Crozet Islands",88.08,0.81,0,0,1.92344356750979,NA,"Southern Islands","Southern Islands"
"Howland Island and Baker Island",87.69,0.08,0,0,2.97303745814288,NA,"Oceania","Micronesia"
"Heard and McDonald Islands",87.35,0.46,0,0,2.78357377105712,NA,"Southern Islands","Southern Islands"
"Kerguelen Islands",87.32,0.72,0,0,2.02023498591386,NA,"Southern Islands","Southern Islands"
"Jarvis Island",83.9,-0.25,0,0,1.84685443518799,NA,"Oceania","Micronesia"
"Macquarie Island",83.82,0.54,0,0,1.93871205575426,NA,"Oceania","Australia and New Zealand"
"Northern Saint-Martin",83.2,-0.05,122344.331060881,11.7146029076268,4.71276403211659,NA,"Latin America and the Caribbean","Caribbean"
"Phoenix Islands (Kiribati)",82.74,-0.34,31.8008590768512,3.49045470641452,2.88975920255914,NA,"Oceania","Micronesia"
"Christmas Island",82.7,-0.62,5555.77971701534,8.62277403186354,3.920285516687,NA,"Oceania","Australia and New Zealand"
"Palmyra Atoll",82.3,-0.06,0,0,2.50013164293645,NA,"Oceania","Micronesia"
"New Caledonia",81.8,-0.06,434283.033584977,12.981454054285,3.53826656288781,NA,"Oceania","Melanesia"
"Germany",81.6,-0.11,8864796.2618893,15.9975986277297,3.71309134129361,0.926,"Europe","Western Europe"
"Aruba",80.67,-0.24,117944.299738542,11.6779762344322,4.45104490093651,NA,"Latin America and the Caribbean","Caribbean"
"Cocos Islands",80.47,-0.87,4526.33793143784,8.41788939263709,3.67752153237824,NA,"Oceania","Australia and New Zealand"
"Norfolk Island",80.37,-0.77,4062.6785572145,8.30984389095653,3.74554156393861,NA,"Oceania","Australia and New Zealand"
"Madeira",80.36,0.28,309013.311811343,12.6411428713489,4.30062574614665,NA,"Europe","Southern Europe"
"Antigua and Barbuda",80.07,0.1,130112.431807949,11.776161901354,4.57306971862678,0.786,"Latin America and the Caribbean","Caribbean"
"Malta",79.44,0.07,557045.7265776,13.2304044051173,4.3511655447488,0.856,"Europe","Southern Europe"
"American Samoa",79.07,0.52,80587.315197288,11.2971089452468,3.944795867007,NA,"Oceania","Polynesia"
"French Polynesia",78.46,0.48,495763.37301466,13.113856038427,3.12743916972645,NA,"Oceania","Polynesia"
"Australia",78.41,-0.62,22915038.2115562,16.9473039870981,3.56902552810887,0.939,"Oceania","Australia and New Zealand"
"Pitcairn",77.9,1.6,355.98435899358,5.87769196847694,2.65865917547884,NA,"Oceania","Polynesia"
"Italy",77.71,0.3,35801016.0142016,17.3934868591853,4.02627721236323,0.887,"Europe","Southern Europe"
"Curacao",77.14,0.28,182706.451940022,12.1156415293833,4.44787180728848,NA,"Latin America and the Caribbean","Caribbean"
"Cayman Islands",77.11,-0.02,114749.489687541,11.6505153953432,4.23366357971799,NA,"Latin America and the Caribbean","Caribbean"
"New Zealand",76.62,-0.52,5116636.63295539,15.4480080689723,2.50006549696121,0.915,"Oceania","Australia and New Zealand"
"United Arab Emirates",76.55,-0.45,5625649.04818464,15.5428470634995,3.2654408225035,0.84,"Asia","Western Asia"
"Azores",76.4,0.04,379076.421081265,12.8454957404621,4.34511668335762,NA,"Europe","Southern Europe"
"Seychelles",75.95,-0.22,167256.863942754,12.0272919959748,3.61163795885542,0.782,"Africa","Eastern Africa"
"Wallis and Futuna",75.89,0.61,24750.5194350863,10.1166421574291,3.78984952116361,NA,"Oceania","Polynesia"
"Bahamas",75.77,-0.89,745940.836830193,13.5224029094308,3.59073785620561,0.792,"Latin America and the Caribbean","Caribbean"
"Tuvalu",75.41,1.17,49943.9120863516,10.8186759187555,3.66042404567372,NA,"Oceania","Polynesia"
"Vanuatu",75.29,1.41,410111.61243205,12.9241870654355,3.62320969950564,0.597,"Oceania","Melanesia"
"Suriname",75.26,0.31,507285.774536541,13.1368317529144,4.07334164608393,0.725,"Latin America and the Caribbean","South America"
"Norway",74.98,-1.06,5629917.35254349,15.5436054977982,3.77925899058762,0.949,"Europe","Northern Europe"
"Clipperton Island",74.89,0.01,0,0,3.55886313168832,NA,"Latin America and the Caribbean","Central America"
"Croatia",74.68,0.15,1674389.05265455,14.3309595092545,3.95808720526428,0.827,"Europe","Southern Europe"
"Finland",74.33,-1.26,3541879.5125408,15.0801683622954,3.15450590459196,0.895,"Europe","Northern Europe"
"South Korea",74.25,0.71,45921075.3036443,17.6424347483691,4.82967008346895,0.901,"Asia","Eastern Asia"
"Ile Europa",74.23,-1.51,0,0,3.85447623486903,NA,"Africa","Eastern Africa"
"Denmark",74.19,0.1,6212332.27360914,15.6420471117809,3.60297129338567,0.925,"Europe","Northern Europe"
"Latvia",73.88,0.37,1350896.86926984,14.1162800176894,4.04285834665386,0.83,"Europe","Northern Europe"
"South Africa",73.69,-0.58,15250047.3709639,16.5400932328792,3.90091486041115,0.666,"Africa","Southern Africa"
"Sint Maarten",73.62,-2.3,58937.8989809156,10.9842565757798,5.07826918342509,NA,"Latin America and the Caribbean","Caribbean"
"Saba",73.45,-2.08,3548.37574620834,8.17452702086822,4.13243688463518,NA,"Latin America and the Caribbean","Caribbean"
"Line Islands (Kiribati)",73.01,-0.19,49616.8195780454,10.812105313879,2.12832904880332,NA,"Oceania","Micronesia"
"Prince Edward Islands",72.97,0.32,0,0,2.00191262174321,NA,"Southern Islands","Southern Islands"
"Greenland",72.96,-0.32,88537.6197854336,11.3911941175655,1.41911862285076,NA,"Europe","Northern Europe"
"Belgium",72.95,-0.04,3208174.96509356,14.9812130984261,4.10025548134591,0.896,"Europe","Western Europe"
"Samoa",72.94,1.86,228682.446879352,12.3400939982018,3.91870085916057,0.704,"Oceania","Polynesia"
"Marshall Islands",72.92,-1.09,466054.456761952,13.0520599119541,3.2260212676861,NA,"Oceania","Micronesia"
"Russia",72.52,0.08,1685786.87965302,14.3377435968489,2.34304973185765,0.804,"Europe","Eastern Europe"
"Northern Mariana Islands and Guam",72.49,-0.41,280107.49662424,12.542932295041,4.13443308607241,NA,"Oceania","Micronesia"
"Glorioso Islands",72.34,-0.36,0,0,3.64783392994712,NA,"Africa","Eastern Africa"
"Bonaire",72.21,-2.01,28883.328425258,10.2710544579973,4.52666804013502,NA,"Latin America and the Caribbean","Caribbean"
"United Kingdom",72.19,0.89,46245475.1415729,17.6494742039835,3.8327025949784,0.91,"Europe","Northern Europe"
"Montserrat",72,0.03,7075.02971901084,8.86446825524412,4.35690140212381,NA,"Latin America and the Caribbean","Caribbean"
"Netherlands",71.81,-0.24,12717364.0928985,16.3584789476337,3.7496315766084,0.924,"Europe","Western Europe"
"Estonia",71.69,-3.04,1142357.87308199,13.948605869466,3.53147165319214,0.865,"Europe","Northern Europe"
"Guadeloupe and Martinique",71.64,-0.2,1002489.05977293,13.8179975226752,4.41947220929263,NA,"Latin America and the Caribbean","Caribbean"
"Qatar",71.63,1.3,2450158.23190745,14.7116635730243,3.07387994859982,0.856,"Asia","Western Asia"
"Japan",71.46,-0.37,117289413.563037,18.5801550671223,3.89133836240005,0.903,"Asia","Eastern Asia"
"Maldives",71.43,-0.04,2444508.31603303,14.7093549720114,3.7261660070174,0.701,"Asia","Southern Asia"
"Ascension",71.41,0.15,861.399758061359,6.7597189196136,3.83494450934794,NA,"Europe","Northern Europe"
"Trinidad and Tobago",71.4,-0.06,1587826.97674838,14.2778775879368,3.92645225212808,0.78,"Latin America and the Caribbean","Caribbean"
"Dominican Republic",71.38,-0.39,10011124.0114684,16.1192075337343,4.59968333996425,0.722,"Latin America and the Caribbean","Caribbean"
"French Guiana",71.38,-0.06,223747.03840239,12.318275869182,4.05293122307454,NA,"Latin America and the Caribbean","South America"
"Chile",71.26,-0.33,6046413.22176943,15.6149759636799,3.09652452826992,0.847,"Latin America and the Caribbean","South America"
"Tonga",71.11,1.47,194084.270171518,12.176052878444,3.81930694920571,0.721,"Oceania","Polynesia"
"Tokelau",71.07,0.66,12695.5110423751,9.44908251363111,3.74003447132575,NA,"Oceania","Polynesia"
"Poland",70.95,0.68,3341892.94362829,15.0220482532319,4.31022720678112,0.855,"Europe","Eastern Europe"
"Johnston Atoll",70.93,-0.1,0,0,3.28871485764641,NA,"Oceania","Micronesia"
"Thailand",70.91,-0.04,31215909.335459,17.2564384694504,3.92194970303387,0.74,"Asia","South-Eastern Asia"
"Fiji",70.77,0.04,1089288.19071704,13.9010359228753,3.87984252952652,0.736,"Oceania","Melanesia"
"Nauru",70.73,-0.48,20828.1446740136,9.94410847119464,3.38243511031357,NA,"Oceania","Micronesia"
"Wake Island",70.71,-0.62,0,0,3.94612598288686,NA,"Oceania","Micronesia"
"British Indian Ocean Territory",70.71,-0.37,0,0,3.64201550582265,NA,"Asia","Southern Asia"
"Portugal",70.7,-0.36,8127953.80029487,15.9108198877976,4.44140563921452,0.843,"Europe","Southern Europe"
"British Virgin Islands",70.53,0.07,73592.6695219665,11.2063142890879,4.62375681671114,NA,"Latin America and the Caribbean","Caribbean"
"Gibraltar",70.48,0.34,102067.045415982,11.5333949817676,5.06062459173473,NA,"Europe","Southern Europe"
"Ecuador",70.48,0.16,7748684.44113154,15.8630337664432,2.87130573492023,0.739,"Latin America and the Caribbean","South America"
"Turks and Caicos Islands",70.47,0.91,61550.746687433,11.0276335095598,4.29422941389138,NA,"Latin America and the Caribbean","Caribbean"
"Amsterdam Island and Saint Paul Island",70.45,0.19,0,0,2.78635782505079,NA,"Southern Islands","Southern Islands"
"Solomon Islands",70.4,1.12,1046121.83934925,13.8606013539482,3.66482530672176,0.515,"Oceania","Melanesia"
"Oman",70.33,-0.36,3308999.50858053,15.0121567405999,4.05623626438157,0.796,"Asia","Western Asia"
"Tristan da Cunha",70.32,-0.43,326.55872778709,5.79166736048643,3.55257642138202,NA,"Europe","Northern Europe"
"Puerto Rico and Virgin Islands of the United States",70.3,-0.37,4118245.11139527,15.2309379295716,4.44328813087063,NA,"Latin America and the Caribbean","Caribbean"
"France",70.23,-0.62,18074827.5465416,16.7100308402956,4.20374001159365,0.897,"Europe","Western Europe"
"Sint Eustatius",70,-2.05,9295.92678717295,9.13743917153757,4.43000107354639,NA,"Latin America and the Caribbean","Caribbean"
"Juan de Nova Island",69.97,-0.37,0,0,3.83446270660057,NA,"Africa","Eastern Africa"
"Iran",69.95,0.29,3506838.92602758,15.0702258839482,4.17845988944374,0.774,"Asia","Southern Asia"
"Tanzania",69.67,0.31,11677579.1463122,16.2731813346457,3.56495226958816,0.531,"Africa","Eastern Africa"
"Kuwait",69.66,-0.38,4251446.17176603,15.2627699939437,2.88721157298308,0.8,"Asia","Western Asia"
"Sweden",68.88,-1.4,7858281.96935346,15.8770786888051,3.69630133426828,0.913,"Europe","Northern Europe"
"Ile Tromelin",68.83,-0.6,0,0,3.83686369165078,NA,"Africa","Eastern Africa"
"Bermuda",68.79,-1.17,164405.172710845,12.0100953078023,3.71148139302109,NA,"Latin America and the Caribbean","Caribbean"
"Anguilla",68.78,-0.44,29832.6063032905,10.3033907653839,4.66432124754825,NA,"Latin America and the Caribbean","Caribbean"
"Bangladesh",68.76,0.24,32121493.6180092,17.2850359782768,3.5262046182611,0.579,"Asia","Southern Asia"
"Micronesia",68.73,0.07,394231.684931044,12.8846965848527,3.45824588937421,0.638,"Oceania","Micronesia"
"Saint Pierre and Miquelon",68.52,-0.46,12049.8082704286,9.3968870130534,3.90599921225114,NA,"Americas","Northern America"
"Greece",68.45,-1.05,11330689.4883473,16.2430255745141,4.66922593360241,0.866,"Europe","Southern Europe"
"Slovenia",68.33,-0.63,305322.960072047,12.629128656063,6.12413991822137,0.89,"Europe","Southern Europe"
"Georgia",68.28,1.49,1010030.90335648,13.8254924758002,4.38352036839639,0.769,"Asia","Western Asia"
"Ireland",68.26,0.28,4227356.49155537,15.257087649324,4.67092072250065,0.923,"Europe","Northern Europe"
"Djibouti",68.24,-0.13,872027.953743293,13.6785779061739,3.99493408220902,0.473,"Africa","Eastern Africa"
"Canada",68.23,-0.48,8560815.25673544,15.962706100667,1.85892923877101,0.92,"Americas","Northern America"
"United States",68.05,-1.09,109586249.250103,18.5122224706858,3.2479414390452,0.92,"Americas","Northern America"
"Palau",68,-1,63404.8655510495,11.057311652724,3.8149596812157,0.788,"Oceania","Micronesia"
"Egypt",67.89,-0.33,25216519.3802265,17.043009908333,4.56998173526505,0.691,"Africa","Northern Africa"
"Honduras",67.82,0.37,3389649.61771948,15.0362374114257,4.05616684491444,0.625,"Latin America and the Caribbean","Central America"
"Gilbert Islands (Kiribati)",67.81,-1.48,627098.913770002,13.3488611590251,3.22818896302458,0.588,"Oceania","Micronesia"
"Mozambique",67.68,0.76,10931342.1723557,16.2071447411987,3.70581197351969,0.418,"Africa","Eastern Africa"
"Jersey",67.62,-0.22,149232.671390504,11.913268620851,3.27414875142413,NA,"Europe","Northern Europe"
"Mayotte",67.38,-2.46,398155.62188481,12.8946007291806,3.71195356176625,NA,"Africa","Eastern Africa"
"Cape Verde",67.23,-0.18,647354.524456244,13.3806509194061,4.36376681573,0.648,"Africa","Western Africa"
"Niue",67.23,0.29,2092.92673665389,7.64679640354711,3.96181408806433,NA,"Oceania","Polynesia"
"Jan Mayen",66.79,-0.3,48.3622830077176,3.89918663070982,3.54091312613904,NA,"Europe","Northern Europe"
"Mauritius",66.77,0.23,1457289.05817256,14.1920891444115,3.77642984016985,0.781,"Africa","Eastern Africa"
"Taiwan",66.68,-0.34,24948489.0759954,17.0323238603343,4.53448106365752,NA,"Asia","Eastern Asia"
"Andaman and Nicobar",66.59,0.18,600363.836916827,13.3052928109318,3.75800515636095,NA,"Asia","South-Eastern Asia"
"Belize",66.5,-0.1,311343.779748175,12.6486561936535,3.72716173234505,0.706,"Latin America and the Caribbean","Central America"
"Argentina",66.38,-1.21,18623748.42122,16.7399481748062,2.97666974567739,0.827,"Latin America and the Caribbean","South America"
"Mexico",66.37,-0.84,25074163.0158393,17.0373485519081,3.36736507553487,0.762,"Latin America and the Caribbean","Central America"
"Brazil",66.12,-0.57,77287161.1052942,18.1630384209202,3.91045081392002,0.754,"Latin America and the Caribbean","South America"
"Gambia",66.07,-0.04,1887441.16092188,14.4507331164156,4.38012620236743,0.452,"Africa","Western Africa"
"Bassas da India",65.94,-0.22,0,0,3.99801162649377,NA,"Africa","Eastern Africa"
"Canary Islands",65.8,-0.25,2532482.49184014,14.7447109965606,4.37251183219437,NA,"Europe","Southern Europe"
"Spain",65.74,-0.02,26596003.5119813,17.0962715561533,4.29537213886021,0.884,"Europe","Southern Europe"
"Morocco",65.61,-0.82,18820567.1129133,16.7504608783244,4.8555148723188,0.647,"Africa","Northern Africa"
"Cook Islands",65.35,-0.17,41655.3799929261,10.6372098169666,3.69288581396523,NA,"Oceania","Polynesia"
"Malaysia",65.28,-0.48,26697464.1972634,17.1000791824316,4.39537628540985,0.789,"Asia","South-Eastern Asia"
"Saudi Arabia",65.19,-2.03,10859589.9033738,16.2005592017213,3.5019605434642,0.847,"Asia","Western Asia"
"Falkland Islands",65.17,-0.67,4707.53450718151,8.45713199362275,2.9791316545253,NA,"Europe","Northern Europe"
"Myanmar",64.92,1.65,19649614.3003252,16.7935683184963,3.85125903823037,0.556,"Asia","South-Eastern Asia"
"India",64.6,0.21,187205069.353348,19.0477152068618,4.19094094661558,0.624,"Asia","Southern Asia"
"Saint Kitts and Nevis",64.36,-0.31,86089.149157518,11.3631502722271,4.24940591553724,0.765,"Latin America and the Caribbean","Caribbean"
"Ghana",64.35,0.29,10054926.2244211,16.1235733434124,4.40505995655163,0.579,"Africa","Western Africa"
"Cambodia",64.25,0.29,1058932.6801869,13.872772997681,4.0399202466937,0.563,"Asia","South-Eastern Asia"
"Panama",64.05,0.84,4445807.69305988,15.3074723435791,3.71127054874383,0.788,"Latin America and the Caribbean","Central America"
"Lithuania",63.96,-1.62,335965.899614687,12.7247679210411,4.27033111617776,0.848,"Europe","Northern Europe"
"Monaco",63.93,-0.78,63351.5103580686,11.0564698117687,4.1658645700092,NA,"Europe","Western Europe"
"R_union",63.76,-0.24,964630.751357539,13.7795017026806,4.32943444069573,NA,"Africa","Eastern Africa"
"Indonesia",63.57,0.07,199991147.245564,19.1137836647607,3.23709680495007,0.689,"Asia","South-Eastern Asia"
"Sri Lanka",63.47,0.42,15298183.8021992,16.5432447389452,4.21724793145551,0.766,"Asia","Southern Asia"
"Brunei",63.42,-0.64,490719.837322816,13.1036306856615,3.71947971252697,0.865,"Asia","South-Eastern Asia"
"Cuba",63.32,-1.22,11289531.8152956,16.2393865548707,3.01172421369474,0.775,"Latin America and the Caribbean","Caribbean"
"Israel",63.3,-0.2,9160558.23019107,16.0304177861177,4.66442289927438,0.899,"Asia","Western Asia"
"Vietnam",63.26,0.48,57332822.9676634,17.8643838617852,4.21295176749793,0.683,"Asia","South-Eastern Asia"
"Yemen",63.07,1.22,5998017.71169119,15.6069397579413,3.87062004784655,0.482,"Asia","Western Asia"
"Romania",63.07,-0.04,673727.225034797,13.4205820816253,4.3553882387161,0.802,"Europe","Eastern Europe"
"Guyana",63.07,-0.49,795352.968779998,13.5865425382933,3.96601513047536,0.638,"Latin America and the Caribbean","South America"
"Oecussi Ambeno",63.02,0.36,65302.2737057792,11.0867974473276,4.18030004382133,NA,"Asia","South-Eastern Asia"
"Costa Rica",62.9,-0.94,1816364.6529347,14.41234816861,2.65300863877691,0.776,"Latin America and the Caribbean","Central America"
"Bouvet Island",62.78,0.56,0,0,1.98986430955807,NA,"Southern Islands","Southern Islands"
"Guernsey",62.72,0.26,106223.736190813,11.5733122814856,4.87348998177798,NA,"Europe","Northern Europe"
"Namibia",62.52,-0.06,218281.233920828,12.2935441554462,3.53376652659468,0.64,"Africa","Southern Africa"
"Cameroon",62.51,-0.23,5336930.98323004,15.4901615108523,3.38408436755583,0.518,"Africa","Middle Africa"
"China",62.44,-0.21,317149892.830583,19.5748850712832,4.9127620496181,0.738,"Asia","Eastern Asia"
"China",62.44,-0.21,317149892.830583,19.5748850712832,4.9127620496181,0.917,"Asia","Eastern Asia"
"Tunisia",62.28,-1.33,9231569.90670033,16.0381397877396,4.32061898752603,0.725,"Africa","Northern Africa"
"Guatemala",62.25,-0.94,1969515.70593817,14.4932987436817,3.47101156764711,0.64,"Latin America and the Caribbean","Central America"
"Madagascar",61.78,-0.16,9102775.4187271,16.0240900259123,2.61293584995857,0.512,"Africa","Eastern Africa"
"Jordan",61.77,-1.19,1133453.55693035,13.9407806571956,6.05886589180339,0.742,"Asia","Western Asia"
"Philippines",61.7,1.26,117571101.947311,18.5825538399967,3.75858427356267,0.682,"Asia","South-Eastern Asia"
"Papua New Guinea",61.62,-0.56,3629065.54476939,15.104486022971,3.58479597925723,0.516,"Oceania","Melanesia"
"Peru",61.33,-0.27,17440662.4593789,16.6743150181171,2.6521729605638,0.74,"Latin America and the Caribbean","South America"
"Kenya",61.28,-0.79,3864717.29092273,15.1673993501345,3.37764141916388,0.555,"Africa","Eastern Africa"
"Western Sahara",61.11,-0.15,558602.858621908,13.2331958401348,4.60513584989527,NA,"Africa","Northern Africa"
"Uruguay",61.02,-0.61,2813973.18811666,14.850108343948,3.18133579665366,0.795,"Latin America and the Caribbean","South America"
"Gabon",60.98,0.11,872250.68042414,13.6788332855867,3.3617559528549,0.697,"Africa","Middle Africa"
"East Timor",60.92,0.07,1350811.7300825,14.1162169915552,3.5536105774988,0.606,"Asia","South-Eastern Asia"
"Bulgaria",60.71,0.56,1033198.93354096,13.8481712758803,4.63904090001717,0.794,"Europe","Eastern Europe"
"Ukraine",60.65,-2,7081969.11108291,15.7730626912388,4.02836235955902,0.743,"Europe","Eastern Europe"
"Togo",60.63,-0.15,3048702.92927816,14.9302271170502,4.3573395837598,0.487,"Africa","Western Africa"
"Saint Helena",60.62,-0.44,4814.46544109676,8.47958798437809,3.42469468417466,NA,"Europe","Northern Europe"
"Colombia",60.24,-0.73,8774680.09366089,15.987380984053,3.78390122323869,0.727,"Latin America and the Caribbean","South America"
"Faeroe Islands",60.07,0.09,67422.8735179091,11.1187544406813,4.59315597352107,NA,"Europe","Northern Europe"
"Iceland",59.83,-0.09,379558.060149803,12.8467654899275,3.89615955495057,0.921,"Europe","Northern Europe"
"Saint Lucia",59.65,-0.24,226173.168881806,12.3290606402185,4.44650545642624,0.735,"Latin America and the Caribbean","Caribbean"
"Venezuela",59.46,0.01,20120868.5529176,16.8172681205978,4.31323767291349,0.767,"Latin America and the Caribbean","South America"
"Comoro Islands",59.05,-1,1066507.0514164,13.8799003662475,3.80482525405882,0.498,"Africa","Eastern Africa"
"Singapore",58.95,0.04,6287260.26522317,15.6540361229234,6.76158550378425,0.925,"Asia","South-Eastern Asia"
"Jamaica",58.93,-0.4,3069760.17082607,14.937110322018,4.12627322326568,0.73,"Latin America and the Caribbean","Caribbean"
"Grenada",58.47,-0.3,153187.497509679,11.9394244519404,4.44416835313269,0.754,"Latin America and the Caribbean","Caribbean"
"Sao Tome and Principe",58.04,-0.26,335650.985273026,12.7238301440612,3.66912847153852,0.574,"Africa","Middle Africa"
"Albania",58.03,-0.22,2402370.98328534,14.6919671336141,3.86750401454173,0.764,"Europe","Southern Europe"
"Bahrain",57.57,-0.22,2300210.41637276,14.648511596837,2.6586553796069,0.824,"Asia","Western Asia"
"Cyprus",57.26,0.48,1311921.41305856,14.0870041103493,4.38622454293503,0.856,"Asia","Western Asia"
"Benin",57.12,0.01,4279134.77634251,15.2692616257538,4.06864095694827,0.485,"Africa","Western Africa"
"Haiti",57.09,-0.19,11393913.156733,16.2485899249177,4.36252892638179,0.493,"Latin America and the Caribbean","Caribbean"
"Turkey",56.66,-0.97,42789860.7107632,17.5718117565757,4.94477414216744,0.767,"Asia","Western Asia"
"Saint Vincent and the Grenadines",55.83,-0.07,174410.117723499,12.0691705368397,4.48524392707603,0.722,"Latin America and the Caribbean","Caribbean"
"Iraq",55.3,0.12,256192.840035659,12.4536896245791,4.64586700092662,0.649,"Asia","Western Asia"
"Barbados",55.24,-0.25,347581.260245457,12.758756636104,4.40326481276486,0.795,"Latin America and the Caribbean","Caribbean"
"Nigeria",54.83,0.05,34082439.189791,17.3442928591752,4.65534130905439,0.527,"Africa","Western Africa"
"Mauritania",54.48,0.28,1530930.79264072,14.2413871227922,4.50035554354002,0.513,"Africa","Western Africa"
"Montenegro",54.27,0.63,343117.913500227,12.7458323526557,4.34157963645884,0.807,"Europe","Southern Europe"
"Equatorial Guinea",54.11,-2.69,663637.779898475,13.4054932742565,3.57723447010946,0.592,"Africa","Middle Africa"
"Syria",54.05,-1.24,2273311.76232586,14.6367486922803,4.73387798664658,0.536,"Asia","Western Asia"
"Angola",53.25,0.15,13705294.317202,16.4332928356227,3.82157871272511,0.533,"Africa","Middle Africa"
"El Salvador",53.02,-0.7,4689846.40618521,15.3609106038985,3.72974157817071,0.68,"Latin America and the Caribbean","Central America"
"Sudan",52.41,-0.23,1071335.67624658,13.8844176569363,3.67101666084839,0.49,"Africa","Northern Africa"
"Algeria",52.37,-0.17,19754481.7784054,16.798890999678,4.75768808262506,0.745,"Africa","Northern Africa"
"Dominica",51.59,-0.14,86183.6490417248,11.3642473554299,4.48884630062952,0.726,"Latin America and the Caribbean","Caribbean"
"Pakistan",51.47,-1.33,15747598.4759089,16.5721984973917,4.34380206849423,0.55,"Asia","Southern Asia"
"North Korea",50.84,-1.33,18293385.0380981,16.722050133801,3.58173478569927,NA,"Asia","Eastern Asia"
"Liberia",50.75,0.73,2872271.21807749,14.8706139881117,4.16055249605259,0.427,"Africa","Western Africa"
"Somalia",50.59,-1.69,3881446.4803747,15.1717187039814,3.51903836576612,NA,"Africa","Eastern Africa"
"Senegal",49.89,-0.43,9633835.26134785,16.0807920701121,4.46939979148429,0.494,"Africa","Western Africa"
"Republique du Congo",49.49,-0.94,734260.351031964,13.5066203082971,3.93044808401065,0.592,"Africa","Middle Africa"
"Guinea Bissau",48.88,0.09,1554138.07446723,14.2564323004145,3.84001769760751,0.424,"Africa","Western Africa"
"Bosnia and Herzegovina",48.83,-0.04,262232.182313339,12.4769893957498,5.19501256942749,0.75,"Europe","Southern Europe"
"Lebanon",48.74,-0.31,7103063.75666581,15.7760369047434,4.86514364427619,0.763,"Asia","Western Asia"
"Eritrea",48.48,-3.99,1115159.03298793,13.9245084799207,3.01243633853614,0.42,"Africa","Eastern Africa"
"Nicaragua",47.79,-1.15,2068041.82724274,14.5421132238944,3.95948684179993,0.645,"Latin America and the Caribbean","Central America"
"Guinea",46.79,-0.16,4234563.10447774,15.2587909538472,3.99246344756492,0.414,"Africa","Western Africa"
"Democratic Republic of the Congo",46.31,0,111513.694164546,11.6219116474284,3.79582372377066,0.435,"Africa","Middle Africa"
"Sierra Leone",46.1,0.24,3410797.46891551,15.0424569769569,4.34061076958729,0.42,"Africa","Western Africa"
"Libya",43.55,0.25,3099995.25895629,14.9469114626664,4.27301786570442,0.716,"Africa","Northern Africa"
"Ivory Coast",41.83,-0.33,8004679.85302785,15.8955370351644,4.1663196814764,0.474,"Africa","Western Africa"
