country,co2_2007
Afghanistan,2937.8834207797813
Albania,4217.55105614
Algeria,105838.12850284
American Samoa,18.36844005
Angola,17405.004733667003
Anguilla,12.353917530799999
Antigua and Barbuda,382.25511819800005
Argentina,175532.7787316
Armenia,5336.288771
Aruba,282.1518872644
Australia,425956.58876889996
Austria,75961.44988220998
Azerbaijan,28034.457800260006
Bahamas,3474.231534218001
Bahrain,18809.673060869998
Bangladesh,44081.094813027994
Barbados,1247.664473368
Belarus,63370.956369202635
Belgium,110651.3467689
Belize,827.838089848
Benin,4413.821491
Bermuda,452.899965716
Bhutan,757.603161981
Bolivia (Plurinational State of),12054.329805730002
Bosnia and Herzegovina,19636.109488410002
Botswana,4577.016378499999
Brazil,378627.6926858999
British Virgin Islands,72.5004524849
Brunei Darussalam,7316.614358316
Bulgaria,57127.802149569994
Burkina Faso,1719.4156365400004
Burundi,937.9216903096001
Cabo Verde,83.53333599279999
Cambodia,3483.3714590000004
Cameroon,7591.61326572
Canada,570304.5196672
Cayman Islands,292.0834300286
Central African Republic,604.3063227695
Chad,1130.28585546
Chile,69691.9155285
China,7957880.130688539
"China, Hong Kong SAR",45545.930060999985
"China, Macao SAR",1891.6125698919996
"China, Taiwan Province of",281417.4527915
Colombia,61057.70738790999
Comoros,88.33320654210002
Congo,4312.278782936
Cook Islands,25.8068985136
Costa Rica,7653.274646686999
Côte d Ivoire,6261.52078537
Croatia,24388.305158739997
Cuba,27495.72093784
Cyprus,8258.5749965
Czech Republic,129031.64168642
Democratic People s Republic of Korea,67655.933912083
Democratic Republic of the Congo,3097.9645155199996
Denmark,53869.52538329
Djibouti,1120.8635877000004
Dominica,145.79086435850002
Dominican Republic,21095.856452368
Ecuador,31363.070733960005
Egypt,191557.94065420004
El Salvador,7651.817046236
Equatorial Guinea,3372.05358293
Eritrea,527.38603825
Estonia,20512.139606999997
Ethiopia,6158.0978156
Falkland Islands (Malvinas),33.58105911513999
Faroe Islands,1.84763
Fiji,935.6607935
Finland,69091.12867890998
France,394432.64034329995
French Guiana,1061.9407743340003
French Polynesia,582.4632166900002
Gabon,5243.642223096999
Gambia,201.0315286592
Georgia,6139.40934287
Germany,812442.9198949698
Ghana,8975.279328389997
Gibraltar,421.71415599999995
Greece,106237.12610782005
Greenland,2.3291361999999998
Grenada,434.07027737970003
Guadeloupe,1875.6228291829998
Guam,11.01961325
Guatemala,12644.25672167
Guinea,1513.8511859379998
Guinea-Bissau,252.39004092459996
Guyana,2479.0320028739998
Haiti,2408.3630850000004
Honduras,8827.495016
Hungary,57591.57788621
Iceland,3427.5350596000003
India,1440089.9983060001
Indonesia,395501.5559003
Iran (Islamic Republic of),534927.0952775
Iraq,81485.31080899999
Ireland,47662.89182649
Israel,67178.26292845
Italy,478831.71053930005
Jamaica,12203.831819481999
Japan,1333488.4755599366
Jordan,21083.970352919998
Kazakhstan,214411.19187848002
Kenya,9857.217136072
Kiribati,24.293719664999998
Kuwait,77056.42361568999
Kyrgyzstan,4989.050134238001
Lao People s Democratic Republic,1692.3309846043
Latvia,8753.078850100004
Lebanon,14140.370514
Lesotho,260.4405217455
Liberia,635.5851156223
Libya,53160.05323458999
Lithuania,14976.750253189997
Luxembourg,11270.3177886
Madagascar,2395.749811907999
Malawi,1358.5804769239999
Malaysia,197656.54864969992
Maldives,631.1484427599997
Mali,1249.0149129284
Malta,2755.6759874000004
Martinique,2008.2673433639993
Mauritania,1995.96825357
Mauritius,2580.280819793001
Mexico,441173.01112220006
Mongolia,11489.22260591
Montserrat,274.0306925863
Morocco,47844.41781712
Mozambique,3368.894944608
Myanmar,10688.819533729997
Namibia,2449.998612
Nauru,0.9737
Nepal,2783.2967420000004
Netherlands,174951.5718418801
Netherlands Antilles,6519.86611931
New Caledonia,1586.33411354
New Zealand,35688.43998318
Nicaragua,4687.149285746999
Niger,1571.8978243360002
Nigeria,80440.373697954
Norway,45259.5341659
Oman,46876.90350168
Pakistan,157431.19429976004
Palau,29.104042723299997
Panama,7291.554332200001
Papua New Guinea,5298.435804596699
Paraguay,4190.594088999999
Peru,34217.83383438
Philippines,77001.8016478
Poland,321704.98655186995
Portugal,60702.06535656001
Puerto Rico,845.61383918
Qatar,53740.264562259996
Republic of Korea,530406.3117745899
Republic of Moldova,8181.71658937
Réunion,953.0821598279999
Romania,105069.09088926001
Russian Federation,1757206.7391501998
Rwanda,1048.6043767680003
Saint Helena,9.91507244478
Saint Kitts and Nevis,143.3057555155
Saint Lucia,467.4675086841
Saint Pierre and Miquelon,6.8789714889999996
Saint Vincent and the Grenadines,271.77765424340004
Samoa,93.06250856999998
Sao Tome and Principe,47.3640269206
Saudi Arabia,337792.6021241
Senegal,6236.91775895
Serbia and Montenegro,61492.15168918
Seychelles,434.346822208
Sierra Leone,1000.0780315740001
Singapore,43372.9382208
Slovakia,41464.02454672001
Slovenia,18062.598172971
Solomon Islands,157.76664929999998
Somalia,1008.7580900414
South Africa,398665.9645083201
Spain,367075.59114200005
Sri Lanka,14232.367714826998
Sudan (former),14088.54379499
Suriname,1889.3058576449994
Swaziland,522.9436548342
Sweden,51382.2867431
Switzerland,44845.302827969994
Syrian Arab Republic,64670.00222758999
Tajikistan,4061.56911394
Thailand,234207.4605337
The former Yugoslav Republic of Macedonia,10333.068699268002
Timor-Leste,204.96283441359998
Togo,1213.130596
Tonga,176.213674274
Trinidad and Tobago,37495.967073269996
Tunisia,24826.239999955
Turkey,298671.5719452
Turkmenistan,60498.22522280001
Turks and Caicos Islands,45.76383031530001
Tuvalu,0.5432728
Uganda,3493.8434045119993
Ukraine,358474.78176276
United Arab Emirates,136387.97338964
United Kingdom,545087.3717375
United Republic of Tanzania,5876.15234
United States of America,5833701.837532702
United States Virgin Islands,1.4841543499999998
Uruguay,5960.97706485
Uzbekistan,119702.78208228998
Vanuatu,60.41806179
Venezuela (Bolivarian Republic of),150322.9676635
Viet Nam,112592.99250775
Western Sahara,159.2652456624
Yemen,24043.182456699997
Zambia,1830.639410373
Zimbabwe,10273.76939
